titleId,titleType,originalTitle,runtimeMinutes,averageRating
tt0090557,movie,Round Midnight,133,7.8
tt0419299,tvSeries,.hack//Tasogare no udewa densetsu,25,7.5
tt0361140,tvSeries,.hack//SIGN,25,7.4
tt0312296,movie,1 Giant Leap,155,8.8
tt0078721,movie,10,122,7.3
tt0078721,movie,10,122,8.8
tt2170245,movie,10,76,6.2
tt2170245,movie,10,76,6.9
tt5282238,movie,10,90,7.6
tt5282238,movie,10,90,6.1
tt0312297,movie,10 Attitudes,87,6.1
tt0147800,movie,10 Things I Hate About You,97,8.3
tt1321805,tvSeries,10 Things I Hate About You,30,8.3
tt0085121,movie,10 to Midnight,101,6.9
tt0101244,movie,100 Days,161,6.9
tt0315100,movie,100 Days,100,3.5
tt2475066,movie,Zhen ai 100 tian,104,3.5
tt6183418,tvSeries,100 Days,30,6.2
tt0100694,movie,Sto dney do prikaza,71,6.2
tt0214388,movie,100 Girls,94,6.7
tt0299422,movie,100 Mile Rule,98,6.7
tt0166940,tvSeries,100 Years of Horror,343,7.9
tt0211181,movie,102 Dalmatians,100,7.9
tt0331811,movie,11:14,86,7.4
tt0050083,movie,12 Angry Men,96,7.4
tt0114746,movie,Twelve Monkeys,129,6.6
tt3148266,tvSeries,12 Monkeys,42,6.6
tt0053559,movie,13 Ghosts,85,7.4
tt0337563,movie,13 Going on 30,98,7.4
tt0276744,movie,13 Moons,93,4.9
tt0038279,movie,13 Rue Madeleine,95,7.3
tt0313844,movie,16-Dec,158,8.7
tt0331338,movie,16 Years of Alcohol,102,7.3
tt0068156,movie,1776,141,7.5
tt12846096,tvSeries,Eitin Eogein,70,6.3
tt0078723,movie,1941,118,4.7
tt0109010,movie,1942: A Love Story,157,6.5
tt0094594,movie,1969,95,7.3
tt10150924,tvSeries,1969,60,7
tt0048918,movie,1984,90,7.8
tt0087803,movie,Nineteen Eighty-Four,113,4.7
tt0115438,movie,2 Days in the Valley,104,5.3
tt0322259,movie,2 Fast 2 Furious,107,5.8
tt0158446,movie,2 secondes,100,5.6
tt0050084,movie,20 Million Miles to Earth,82,5.6
tt0387805,movie,200 American,84,7.2
tt0137338,movie,200 Cigarettes,101,8.2
tt0316958,tvSeries,2000 Jahre Christentum,125,7
tt0062622,movie,2001: A Space Odyssey,149,4.9
tt0157262,movie,2001: A Space Travesty,99,7.2
tt0086837,movie,2010: The Year We Make Contact,116,9
tt0315733,movie,21 Grams,124,7.8
tt0274309,movie,24 Hour Party People,117,8.3
tt0222666,movie,24 Hours in London,90,8
tt0307901,movie,25th Hour,135,7.7
tt0191754,movie,28 Days,103,6.1
tt0283090,movie,29 Palms,93,6.1
tt0101252,movie,29th Street,101,6.2
tt0362387,movie,2LDK,70,8.3
tt0194635,movie,3 A.M.,86,5.8
tt0248661,movie,3 A.M.,92,6.9
tt0103596,movie,3 Ninjas,84,6.5
tt0112255,movie,3 Ninjas: Knuckle Up,85,6.9
tt0199290,movie,3 Strikes,82,6.2
tt2202792,tvSeries,3 Strikes,25,7.6
tt11137272,movie,Respect,76,8.2
tt0423866,movie,Bin-jip,88,5.8
tt0273048,movie,30 Years to Life,110,6.3
tt0233142,movie,3000 Miles to Graceland,125,6.3
tt0050086,movie,3:10 to Yuma,92,8.7
tt0381849,movie,3:10 to Yuma,122,7.2
