titleId,directors
tt0000023,nm0525910
tt0000181,nm0808310
tt0000225,
tt0000230,nm0617588
tt0000420,"nm0378408,nm0832948"
tt0000439,nm0692105
tt0000471,nm0692105
tt0000472,nm0002615
tt0000487,nm0002615
tt0000609,"nm0892614,nm0143333"
tt0000610,nm0691994
tt0000630,nm0143333
tt0000668,"nm0091767,nm0675544"
tt0000709,"nm0710362,nm0085865"
tt0000711,nm0567363
tt0000717,nm0085865
tt0000724,nm0085865
tt0000734,nm0710362
tt0000736,nm0567363
tt0000746,nm0000428
tt0000750,"nm0085865,nm0710362"
tt0000758,nm0488932
tt0000770,nm0000428
tt0000823,nm0000428
tt0000828,nm0000428
tt0000841,nm0000428
tt0000928,"nm0085865,nm0710362"
tt0000950,nm0143333
tt0000961,nm0000428
tt0000966,"nm0085865,nm0448682"
tt0000990,nm0085865
tt0000998,nm0266080
tt0001008,nm0205986
tt0001016,nm0000428
tt0001106,nm0692105
tt0001117,"nm0029253,nm0954087"
tt0001175,"nm0580197,nm0693516,nm0130633"
tt0001207,nm0000428
tt0001211,"nm0029253,nm1108042"
tt0001223,nm0205986
tt0001227,nm0000428
tt0001240,nm0088881
tt0001241,"nm0055011,nm0713223"
tt0001242,nm0221142
tt0001264,nm0000428
tt0001299,nm0130633
tt0001334,nm0288616
tt0001432,nm0085865
tt0001544,"nm0448682,nm0205986,nm0587929"
tt0001545,nm0629589
tt0001632,
tt0001658,"nm0055011,nm0002504"
tt0001715,nm0072493
tt0001728,
tt0001761,
tt0001812,nm0294276
tt0001857,nm0072493
tt0001872,"nm0806961,nm0875869"
tt0001877,nm0629589
tt0002031,"nm0448682,nm0085865,nm0949648"
tt0002065,"nm0000428,nm0524306"
tt0002101,nm0309130
tt0002143,nm0376529
tt0002295,"nm0877783,nm0107543"
tt0002300,nm0036048
tt0002405,
tt0002406,nm0072872
tt0002423,nm0523932
tt0002465,"nm0036048,nm0085133"
tt0002538,nm0205986
tt0002545,
tt0002646,nm0088881
tt0002718,nm0000428
tt0002767,"nm0692105,nm0325448"
tt0002813,nm0107543
tt0002848,nm0000428
tt0002922,nm0687575
tt0002956,nm0784407
tt0003022,nm0107543
tt0003317,nm0029253
tt0003337,nm0551375
tt0003442,nm0205986
tt0003508,nm0713787
tt0003625,nm0306723
tt0003698,"nm0001124,nm0002177"
tt0003740,nm0665163
tt0003772,nm0456804
tt0003804,"nm0692105,nm0285684"
tt0004022,nm0345500
tt0004125,nm0641967
tt0004167,nm0269265
tt0004193,nm0205601
tt0004249,nm0949648
tt0004325,"nm0806565,nm0916665"
tt0004384,nm0303120
tt0004465,"nm0309163,nm0533289"
tt0004536,nm0806565
tt0004630,nm0132324
tt0004707,"nm0784407,nm0071658"
tt0004743,nm0198523
tt0004873,nm0950148
tt0004936,nm0000122
tt0004972,nm0000428
tt0005049,nm0135052
tt0005214,nm0127511
tt0005231,nm2542573
tt0005419,
tt0005431,nm0366586
tt0005529,nm0159725
tt0005682,nm0646058
tt0005928,"nm0285684,nm0692105"
tt0005939,nm0689471
tt0005987,nm0922304
tt0006008,"nm0916665,nm0806565"
tt0006041,nm0624511
tt0006210,"nm0102643,nm0637463"
tt0006241,"nm0698839,nm0306723"
tt0006413,nm0534288
tt0006703,nm0154352
tt0006796,nm0319401
tt0006864,nm0000428
tt0006895,nm0911959
tt0006995,nm0256221
tt0007120,nm0686859
tt0007142,nm0949648
tt0007160,nm0366586
tt0007338,nm0077928
tt0007361,nm0205986
tt0007454,nm0842521
tt0007514,nm0002061
tt0007709,nm0332531
tt0007801,nm0250053
tt0007832,nm0000122
tt0007867,nm0208657
tt0007873,nm0256221
tt0008029,"nm0897085,nm0922286"
tt0008040,nm0734958
tt0008196,nm0624714
tt0008426,nm0237713
tt0008543,nm0361882
tt0008544,nm0822801
tt0008565,nm0119138
tt0008614,
tt0008687,nm0853336
tt0008825,"nm0458837,nm0407778"
tt0008836,nm0304843
tt0008975,nm0000779
tt0009020,nm0869665
tt0009205,nm0135052
tt0009259,nm0160280
tt0009309,nm0461295
tt0009369,"nm0428059,nm0949648"
tt0009470,nm0636076
tt0009544,nm0115218
tt0009721,"nm0291387,nm0291548"
tt0009764,nm0319401
tt0009879,nm0853336
tt0009922,nm0373614
tt0009968,nm0000428
tt0010061,nm0686859
tt0010208,nm0000485
tt0010209,nm0006276
tt0010265,nm0275421
tt0010323,nm0927468
tt0010386,nm0454535
tt0010391,nm0000779
tt0010418,nm0001124
tt0010472,"nm1419257,nm0932134"
tt0010532,nm0357872
tt0010548,nm0154352
tt0010651,nm0587754
tt0010654,nm0744504
tt0010674,nm0167032
tt0010844,nm0869665
tt0010953,nm0921244
tt0010962,nm0523932
tt0011001,nm0002061
tt0011058,"nm0281487,nm0281502"
tt0011069,nm0102783
tt0011130,nm0731910
tt0011131,nm0370746
tt0011309,nm0002061
tt0011317,nm0097648
tt0011387,"nm0869665,nm0113284"
tt0011439,nm0629243
tt0011506,nm0279404
tt0011520,nm0073239
tt0011541,"nm0000036,nm0166836"
tt0011588,nm0694260
tt0011604,nm0466099
tt0011651,nm0385171
tt0011679,nm0629243
tt0011785,nm0869665
tt0011841,nm0000428
tt0011849,nm0002179
tt0011886,nm0104197
tt0011907,nm0002061
tt0011973,nm0807871
tt0011998,nm0376221
tt0012027,nm0806605
tt0012091,nm0746460
tt0012189,nm0686421
tt0012249,"nm0300544,nm0769942"
tt0012305,nm0717046
tt0012329,nm0050846
tt0012349,nm0000122
tt0012350,"nm0382730,nm0176699"
tt0012494,nm0000485
tt0012532,nm0000428
tt0012538,nm0115218
tt0012543,"nm0166836,nm0000036"
tt0012581,
tt0012645,nm0118266
tt0012730,nm0058022
tt0012752,nm0629243
tt0012920,nm0334918
tt0012952,"nm0629243,nm0002188"
tt0012998,"nm0454535,nm0569645"
tt0013014,nm0000370
tt0013051,nm0281808
tt0013076,nm0117065
tt0013221,"nm0075960,nm0006276"
tt0013304,nm0279404
tt0013332,nm0869665
tt0013427,nm0280904
tt0013450,nm0515979
tt0013469,nm0118266
tt0013494,nm0001908
tt0013555,nm0446054
tt0013556,nm0245385
tt0013592,nm0286379
tt0013597,nm0662032
tt0013599,nm0281487
tt0013607,nm0721840
tt0013817,nm0001124
tt0013908,nm0413164
tt0014051,nm0694260
tt0014068,nm0454771
tt0014142,nm0941637
tt0014339,"nm0325670,nm0009257"
tt0014398,nm0046082
tt0014440,nm0002271
tt0014532,nm0001124
tt0014538,"nm0166836,nm0000036"
tt0014560,nm0281487
tt0014650,nm0607864
tt0014651,nm0749484
tt0014667,nm0250034
tt0014706,nm0210352
tt0014752,nm0113284
tt0014759,"nm0807871,nm0807236"
tt0014811,nm0281487
tt0014968,nm0896542
tt0015064,nm0003638
tt0015071,nm0227020
tt0015117,nm0122944
tt0015119,nm0523932
tt0015136,nm0003433
tt0015163,"nm0187981,nm0000036"
tt0015168,nm0250053
tt0015224,nm0107543
tt0015310,nm0515979
tt0015361,nm0001178
tt0015394,nm0624714
tt0015400,nm0909825
tt0015411,nm0205984
tt0015456,nm0281487
tt0015532,"nm0002569,nm0718201"
tt0015589,nm0694260
tt0015634,nm0584778
tt0015643,nm0002118
tt0015648,nm0001178
tt0015684,nm0097648
tt0015693,nm0376221
tt0015777,nm0736610
tt0015841,"nm0628345,nm0853130"
tt0015863,nm0000036
tt0015864,nm0000122
tt0015873,"nm0178260,nm0774325"
tt0015926,nm0382476
tt0016037,nm0281808
tt0016039,nm0398464
tt0016123,nm0922327
tt0016220,"nm0432216,nm0151606,nm0781292,nm0480677"
tt0016283,nm0250034
tt0016297,nm0487237
tt0016308,nm0000428
tt0016338,"nm0208113,nm0760547"
tt0016395,nm0454771
tt0016461,"nm0007215,nm0366586"
tt0016463,"nm0671501,nm0734169"
tt0016491,nm0275494
tt0016524,nm0872868
tt0016544,nm0783865
tt0016630,nm0000036
tt0016634,nm0107543
tt0016654,nm0662032
tt0016692,nm0344583
tt0016800,"nm0101038,nm0279404"
tt0016847,nm0003638
tt0016875,nm0097648
tt0016948,nm0090007
tt0017117,nm0190516
tt0017128,nm0699877
tt0017136,nm0000485
tt0017251,nm0332539
tt0017307,nm0046082
tt0017326,nm0002118
tt0017340,nm0210352
tt0017350,nm0803705
tt0017367,nm0807742
tt0017423,"nm0064415,nm0573743"
tt0017518,nm0397678
tt0017657,nm0326370
tt0017731,nm0629243
tt0017739,nm0501902
tt0017749,nm0209458
tt0017750,nm0882160
tt0017765,"nm0395023,nm0000036"
tt0017774,"nm0102264,nm0578985"
tt0017836,nm0347451
tt0017850,nm0629243
tt0017925,"nm0115669,nm0000036"
tt0017961,nm0575963
tt0018033,"nm0903049,nm0046082"
tt0018037,nm0189076
tt0018080,nm0744504
tt0018107,"nm0318105,nm0332539"
tt0018183,nm0853130
tt0018192,nm0304098
tt0018233,nm0807742
tt0018302,nm0671501
tt0018318,nm0136888
tt0018328,nm0000033
tt0018397,nm0115218
tt0018489,nm0928214
tt0018512,nm0806061
tt0018524,nm0689471
tt0018526,"nm0903049,nm0744504"
tt0018662,nm0112897
tt0018689,nm0250034
tt0018721,nm0000370
tt0018728,nm0412235
tt0018753,nm0307819
tt0018770,nm0258477
tt0018773,nm0000122
tt0018821,nm0086486
tt0018851,nm0191899
tt0018870,nm0190516
tt0018873,"nm0914682,nm0916410"
tt0018876,nm0000033
tt0018908,"nm0774325,nm0178260,nm0578985"
tt0018935,nm0226189
tt0019043,nm0455938
tt0019045,nm0654868
tt0019130,nm0501902
tt0019131,nm0071560
tt0019163,nm0917857
tt0019186,nm0243295
tt0019252,nm0833965
tt0019254,nm0003433
tt0019258,nm0896542
tt0019286,nm0699877
tt0019288,nm0383304
tt0019307,nm0782707
tt0019415,nm0000485
tt0019419,nm0187981
tt0019456,nm0215877
tt0019478,nm0840042
tt0019509,nm0002190
tt0019630,nm0922327
tt0019646,nm0478303
tt0019664,nm0215877
tt0019666,nm0624714
tt0019688,"nm0564970,nm0395023"
tt0019722,nm0102643
tt0019723,nm0896533
tt0019732,nm0671501
tt0019734,nm0387791
